day,vix1d_anchor,snap_pt,side,target_delta,D,spot,half_day
2025-12-24,6.87,06:35,p,0.05,3.9908,6912.52,1
2025-12-24,6.87,06:35,p,0.1,2.6769,6912.52,1
2025-12-24,6.87,06:35,p,0.15,1.9481,6912.52,1
2025-12-24,6.87,06:35,p,0.2,1.5199,6912.52,1
2025-12-24,6.87,06:35,p,0.25,1.1818,6912.52,1
2025-12-24,6.87,06:35,p,0.3,0.8993,6912.52,1
2025-12-24,6.87,06:35,c,0.05,2.9535,6912.52,1
2025-12-24,6.87,06:35,c,0.1,2.0628,6912.52,1
2025-12-24,6.87,06:35,c,0.15,1.652,6912.52,1
2025-12-24,6.87,06:35,c,0.2,1.302,6912.52,1
2025-12-24,6.87,06:35,c,0.25,1.0412,6912.52,1
2025-12-24,6.87,06:35,c,0.3,0.784,6912.52,1
2025-12-24,6.87,08:00,p,0.05,2.2703,6923.54,1
2025-12-24,6.87,08:00,p,0.1,1.4602,6923.54,1
2025-12-24,6.87,08:00,p,0.15,1.0708,6923.54,1
2025-12-24,6.87,08:00,p,0.2,0.869,6923.54,1
2025-12-24,6.87,08:00,p,0.25,0.6672,6923.54,1
2025-12-24,6.87,08:00,c,0.05,2.8245,6923.54,1
2025-12-24,6.87,08:00,c,0.1,1.6609,6923.54,1
2025-12-24,6.87,08:00,c,0.15,1.3119,6923.54,1
2025-12-24,6.87,08:00,c,0.2,1.0063,6923.54,1
2025-12-24,6.87,08:00,c,0.25,0.7608,6923.54,1
2025-12-24,6.87,08:00,c,0.3,0.5479,6923.54,1
2026-01-07,7.87,06:35,p,0.05,4.4289,6945.7,0
2026-01-07,7.87,06:35,p,0.1,2.9456,6945.7,0
2026-01-07,7.87,06:35,p,0.15,2.2108,6945.7,0
2026-01-07,7.87,06:35,p,0.2,1.7049,6945.7,0
2026-01-07,7.87,06:35,p,0.25,1.3525,6945.7,0
2026-01-07,7.87,06:35,p,0.3,1.1169,6945.7,0
2026-01-07,7.87,06:35,c,0.05,2.6448,6945.7,0
2026-01-07,7.87,06:35,c,0.1,2.0844,6945.7,0
2026-01-07,7.87,06:35,c,0.15,1.6842,6945.7,0
2026-01-07,7.87,06:35,c,0.2,1.3939,6945.7,0
2026-01-07,7.87,06:35,c,0.25,1.0555,6945.7,0
2026-01-07,7.87,06:35,c,0.3,0.8358,6945.7,0
2026-01-07,7.87,08:00,p,0.05,3.6249,6951.38,0
2026-01-07,7.87,08:00,p,0.1,2.4427,6951.38,0
2026-01-07,7.87,08:00,p,0.15,1.8385,6951.38,0
2026-01-07,7.87,08:00,p,0.2,1.4658,6951.38,0
2026-01-07,7.87,08:00,p,0.25,1.1472,6951.38,0
2026-01-07,7.87,08:00,p,0.3,0.7988,6951.38,0
2026-01-07,7.87,08:00,c,0.05,2.3238,6951.38,0
2026-01-07,7.87,08:00,c,0.1,1.7828,6951.38,0
2026-01-07,7.87,08:00,c,0.15,1.4114,6951.38,0
2026-01-07,7.87,08:00,c,0.2,1.1695,6951.38,0
2026-01-07,7.87,08:00,c,0.25,0.9451,6951.38,0
2026-01-07,7.87,08:00,c,0.3,0.7399,6951.38,0
2026-01-07,7.87,10:00,p,0.05,3.3432,6955.96,0
2026-01-07,7.87,10:00,p,0.1,2.2817,6955.96,0
2026-01-07,7.87,10:00,p,0.15,1.6716,6955.96,0
2026-01-07,7.87,10:00,p,0.2,1.3107,6955.96,0
2026-01-07,7.87,10:00,p,0.25,1.0074,6955.96,0
2026-01-07,7.87,10:00,p,0.3,0.7574,6955.96,0
2026-01-07,7.87,10:00,c,0.05,2.3541,6955.96,0
2026-01-07,7.87,10:00,c,0.1,1.7444,6955.96,0
2026-01-07,7.87,10:00,c,0.15,1.3753,6955.96,0
2026-01-07,7.87,10:00,c,0.2,1.1128,6955.96,0
2026-01-07,7.87,10:00,c,0.25,0.8635,6955.96,0
2026-01-07,7.87,10:00,c,0.3,0.6835,6955.96,0
2026-01-07,7.87,12:00,p,0.05,3.8074,6943.39,0
2026-01-07,7.87,12:00,p,0.1,2.4693,6943.39,0
2026-01-07,7.87,12:00,p,0.15,1.9157,6943.39,0
2026-01-07,7.87,12:00,p,0.2,1.4655,6943.39,0
2026-01-07,7.87,12:00,p,0.25,1.1791,6943.39,0
2026-01-07,7.87,12:00,p,0.3,0.9037,6943.39,0
2026-01-07,7.87,12:00,c,0.05,2.7192,6943.39,0
2026-01-07,7.87,12:00,c,0.1,1.961,6943.39,0
2026-01-07,7.87,12:00,c,0.15,1.623,6943.39,0
2026-01-07,7.87,12:00,c,0.2,1.285,6943.39,0
2026-01-07,7.87,12:00,c,0.25,1.0198,6943.39,0
2026-01-07,7.87,12:00,c,0.3,0.8147,6943.39,0
2025-09-09,8.37,06:35,p,0.05,4.3222,6502.41,0
2025-09-09,8.37,06:35,p,0.1,3.0626,6502.41,0
2025-09-09,8.37,06:35,p,0.15,2.3174,6502.41,0
2025-09-09,8.37,06:35,p,0.2,1.7978,6502.41,0
2025-09-09,8.37,06:35,p,0.25,1.3655,6502.41,0
2025-09-09,8.37,06:35,p,0.3,1.0407,6502.41,0
2025-09-09,8.37,06:35,c,0.05,2.6614,6502.41,0
2025-09-09,8.37,06:35,c,0.1,2.0199,6502.41,0
2025-09-09,8.37,06:35,c,0.15,1.6407,6502.41,0
2025-09-09,8.37,06:35,c,0.2,1.3534,6502.41,0
2025-09-09,8.37,06:35,c,0.25,1.1125,6502.41,0
2025-09-09,8.37,06:35,c,0.3,0.8922,6502.41,0
2025-09-09,8.37,08:00,p,0.05,3.4927,6493.54,0
2025-09-09,8.37,08:00,p,0.1,2.4208,6493.54,0
2025-09-09,8.37,08:00,p,0.15,1.8532,6493.54,0
2025-09-09,8.37,08:00,p,0.2,1.4285,6493.54,0
2025-09-09,8.37,08:00,p,0.25,1.1059,6493.54,0
2025-09-09,8.37,08:00,p,0.3,0.8334,6493.54,0
2025-09-09,8.37,08:00,c,0.05,2.456,6493.54,0
2025-09-09,8.37,08:00,c,0.1,1.7963,6493.54,0
2025-09-09,8.37,08:00,c,0.15,1.4407,6493.54,0
2025-09-09,8.37,08:00,c,0.2,1.1717,6493.54,0
2025-09-09,8.37,08:00,c,0.25,0.9562,6493.54,0
2025-09-09,8.37,08:00,c,0.3,0.7581,6493.54,0
2025-09-09,8.37,10:00,p,0.05,3.2815,6500.8,0
2025-09-09,8.37,10:00,p,0.1,2.1517,6500.8,0
2025-09-09,8.37,10:00,p,0.15,1.6199,6500.8,0
2025-09-09,8.37,10:00,p,0.2,1.2626,6500.8,0
2025-09-09,8.37,10:00,p,0.25,0.9685,6500.8,0
2025-09-09,8.37,10:00,p,0.3,0.7333,6500.8,0
2025-09-09,8.37,10:00,c,0.05,2.4909,6500.8,0
2025-09-09,8.37,10:00,c,0.1,1.8036,6500.8,0
2025-09-09,8.37,10:00,c,0.15,1.3722,6500.8,0
2025-09-09,8.37,10:00,c,0.2,1.1229,6500.8,0
2025-09-09,8.37,10:00,c,0.25,0.884,6500.8,0
2025-09-09,8.37,10:00,c,0.3,0.699,6500.8,0
2025-09-09,8.37,12:00,p,0.05,3.2428,6508.6,0
2025-09-09,8.37,12:00,p,0.1,2.0847,6508.6,0
2025-09-09,8.37,12:00,p,0.15,1.5174,6508.6,0
2025-09-09,8.37,12:00,p,0.2,1.2241,6508.6,0
2025-09-09,8.37,12:00,p,0.25,0.9516,6508.6,0
2025-09-09,8.37,12:00,p,0.3,0.679,6508.6,0
2025-09-09,8.37,12:00,c,0.05,2.8182,6508.6,0
2025-09-09,8.37,12:00,c,0.1,1.8096,6508.6,0
2025-09-09,8.37,12:00,c,0.15,1.4138,6508.6,0
2025-09-09,8.37,12:00,c,0.2,1.0627,6508.6,0
2025-09-09,8.37,12:00,c,0.25,0.8839,6508.6,0
2025-09-09,8.37,12:00,c,0.3,0.7051,6508.6,0
2025-10-07,8.65,06:35,p,0.05,3.6881,6753.65,0
