day,side,reason,vix1d,regime,entry_et,exit_et,short,D_entry,pmkt_entry,D_exit,pmkt_exit,actual_pnl,held_pnl,touched_after_exit,settle_beyond
2024-12-17,c,sr_inner_breach,8.35,calm,10:16,10:58,6065.0,1.865,0.8264,1.605,0.7758,-525,1012.5,0,1
2024-12-17,p,sr_inner_breach,8.35,calm,11:47,11:53,6035.0,1.825,0.7071,1.718,0.6786,-225,862.5,0,1
2024-12-18,p,risk_off_reversal,12.86,mid,10:10,11:19,6005.0,2.554,0.8405,2.756,0.8866,300,-57562.5,1,0
2025-01-07,c,expiration,11.77,mid,11:37,16:01,5980.0,2.406,0.9309,,,2212.5,2212.5,0,1
2025-01-13,p,expiration,16.02,elevated,14:44,16:01,5805.0,2.113,0.7878,,,1312.5,1312.5,0,1
2025-01-14,c,risk_off_reversal,16.41,elevated,11:13,13:28,5880.0,2.342,0.9234,2.318,0.9142,674.9999999999998,1612.5,0,1
2025-01-17,p,expiration,13.57,mid,11:11,16:02,5960.0,2.242,0.8011,,,1387.5,1387.5,0,1
2025-01-22,p,risk_off_reversal,10.63,calm,10:20,11:13,6055.0,2.167,0.7703,2.13,0.7775,-299.9999999999998,1612.5,0,1
2025-01-23,p,expiration,9.63,calm,10:49,16:02,6055.0,2.383,0.823,,,1162.5,1162.5,0,1
2025-01-24,c,sr_inner_breach,9.22,calm,10:18,11:34,6140.0,1.539,0.7395,1.602,0.7745,300,1837.5,0,1
2025-01-27,p,risk_off_reversal,8.69,calm,10:39,10:49,5960.0,4.068,0.9781,3.773,0.9677,-450.00000000000045,1912.5,0,1
2025-01-28,p,expiration,14.1,mid,11:32,16:01,5990.0,2.476,0.846,,,1387.5,1387.5,0,1
2025-01-30,c,risk_off_reversal,17.07,elevated,10:35,11:51,6090.0,1.392,0.6983,1.441,0.7236,450,1762.5,0,1
2025-01-31,p,risk_off_reversal,14.55,mid,10:07,13:20,6055.0,2.266,0.7867,2.924,0.9142,-75.00000000000023,-20632.5,1,0
2025-01-31,c,expiration,14.55,mid,14:39,16:01,6090.0,3.013,0.9695,,,1837.5,1837.5,0,1
2025-02-03,p,expiration,17.23,elevated,12:00,16:01,5930.0,2.988,0.9169,,,2287.4999999999995,2287.5,0,1
2025-02-04,p,expiration,18.14,elevated,10:29,16:03,5975.0,1.82,0.6901,,,2662.5,2662.5,0,1
2025-02-05,c,risk_off_reversal,14.82,elevated,10:09,11:11,6055.0,1.764,0.7988,1.134,0.6103,-1125,-8197.5,1,0
2025-02-05,p,expiration,14.82,elevated,11:36,16:02,5995.0,1.982,0.7462,,,1387.5,1387.5,0,1
2025-02-06,c,sr_inner_breach,11.34,mid,10:49,11:14,6095.0,1.88,0.8419,1.202,0.6378,-1275.0000000000005,1987.5,0,1
2025-02-10,p,risk_off_reversal,16.02,elevated,10:16,11:21,6015.0,1.921,0.7115,1.985,0.7454,75,1537.5,0,1
2025-02-11,p,risk_off_reversal,11.47,mid,10:33,12:04,6020.0,2.295,0.8011,2.402,0.8358,450,1987.5,0,1
2025-02-12,p,risk_off_reversal,13.6,mid,10:39,11:13,5990.0,2.752,0.8788,1.952,0.7365,-2100.0000000000005,1237.5,0,1
2025-02-13,p,expiration,12.25,mid,10:19,16:02,6025.0,2.866,0.8881,,,1612.5000000000002,1612.5,0,1
2025-02-18,c,sr_inner_breach,11.15,mid,13:35,13:52,6130.0,1.557,0.7509,1.47,0.7197,-150,862.5,0,1
2025-02-19,p,expiration,9.06,calm,10:41,16:01,6085.0,2.58,0.8539,,,1012.5,1012.5,0,1
2025-02-21,c,expiration,10.68,calm,10:24,16:02,6125.0,2.34,0.914,,,1912.5,1912.5,0,1
2025-02-25,c,risk_off_reversal,15.6,elevated,10:08,12:39,6010.0,2.663,0.9456,3.109,0.9804,1575,2212.5,0,1
2025-02-26,p,risk_off_reversal,14.71,elevated,10:51,12:00,5955.0,2.159,0.7797,2.045,0.7632,-974.9999999999995,2137.5,1,1
2025-02-28,p,risk_off_reversal,19.65,elevated,10:12,11:30,5805.0,2.468,0.827,2.633,0.8709,-675.0000000000005,2662.5,0,1
2025-03-03,c,expiration,17.84,elevated,10:19,16:00,5995.0,2.306,0.9075,,,3037.5000000000005,3037.5,0,1
2025-03-04,c,risk_off_reversal,22.14,elevated,10:11,11:59,5845.0,2.78,0.9555,2.734,0.9602,225.00000000000045,3187.5,1,1
2025-03-04,p,risk_off_reversal,22.14,elevated,14:02,15:40,5760.0,3.341,0.9515,5.662,0.9992,1125,1987.5,1,1
2025-03-05,c,risk_off_reversal,24.69,elevated,11:21,12:00,5840.0,2.562,0.9466,1.854,0.8377,-2250,1687.5,1,0
2025-03-05,p,expiration,24.69,elevated,13:52,16:03,5750.0,2.901,0.9129,,,2287.5000000000005,2287.5,0,1
2025-03-06,p,risk_off_reversal,21.9,elevated,10:23,11:53,5705.0,2.859,0.8892,2.138,0.7839,-2774.9999999999995,3037.5,0,1
2025-03-06,c,risk_off_reversal,21.9,elevated,13:03,14:49,5825.0,3.915,0.9965,5.288,0.9998,525.0000000000009,2512.5,0,1
2025-03-10,c,risk_off_reversal,24.37,elevated,10:09,11:37,5765.0,2.774,0.9545,3.104,0.9804,674.9999999999995,3262.5,0,1
2025-03-11,c,risk_off_reversal,28.46,elevated,10:27,14:22,5670.0,2.554,0.9386,3.321,0.9834,1650.0000000000005,3262.5,0,1
2025-03-12,c,risk_off_reversal,30.01,elevated,10:37,11:46,5665.0,1.997,0.8608,1.91,0.85,-599.9999999999991,3262.5,0,1
2025-03-13,c,expiration,22.58,elevated,11:54,16:03,5615.0,2.876,0.9694,,,2737.5,2737.5,0,1
2025-03-14,p,expiration,23.34,elevated,12:23,16:00,5550.0,2.531,0.8599,,,2062.5,2062.5,0,1
