day,side,reason,D_exit,pmkt,p_model,actual,held,settle_beyond,era,delta_if_override
2024-12-17,c,sr_inner_breach,1.605,0.7758,0.7323350863488555,-525.0,1012.5,1,TRAIN(in-sample),1537.5
2024-12-17,p,sr_inner_breach,1.718,0.6786,0.7192051394125644,-225.0,862.5,1,TRAIN(in-sample),1087.5
2024-12-18,p,risk_off_reversal,2.756,0.8866,0.43351553507091695,300.0,-57562.5,0,TRAIN(in-sample),-57862.5
2025-01-14,c,risk_off_reversal,2.318,0.9142,0.8959789903055052,674.9999999999998,1612.5,1,TRAIN(in-sample),937.5000000000002
2025-01-22,p,risk_off_reversal,2.13,0.7775,0.8803760050106618,-299.9999999999998,1612.5,1,TRAIN(in-sample),1912.4999999999998
2025-01-24,c,sr_inner_breach,1.602,0.7745,0.8311195260329076,300.0,1837.5,1,TRAIN(in-sample),1537.5
2025-01-27,p,risk_off_reversal,3.773,0.9677,0.8769243709875465,-450.00000000000045,1912.5,1,TRAIN(in-sample),2362.5000000000005
2025-01-30,c,risk_off_reversal,1.441,0.7236,0.580487955538862,450.0,1762.5,1,TRAIN(in-sample),1312.5
2025-01-31,p,risk_off_reversal,2.924,0.9142,0.8697315378462998,-75.00000000000023,-20632.5,0,TRAIN(in-sample),-20557.5
2025-02-05,c,risk_off_reversal,1.134,0.6103,0.6110839679547232,-1125.0,-8197.5,0,TRAIN(in-sample),-7072.5
2025-02-06,c,sr_inner_breach,1.202,0.6378,0.6260528912393404,-1275.0000000000005,1987.5,1,TRAIN(in-sample),3262.5000000000005
2025-02-10,p,risk_off_reversal,1.985,0.7454,0.8493349014621705,75.0,1537.5,1,HELD-OUT(calib+valid),1462.5
2025-02-11,p,risk_off_reversal,2.402,0.8358,0.8992157040007375,450.0,1987.5,1,HELD-OUT(calib+valid),1537.5
2025-02-12,p,risk_off_reversal,1.952,0.7365,0.6881045829273192,-2100.0000000000005,1237.5,1,HELD-OUT(calib+valid),3337.5000000000005
2025-02-18,c,sr_inner_breach,1.47,0.7197,0.7685631600537735,-150.0,862.5,1,HELD-OUT(calib+valid),1012.5
2025-02-25,c,risk_off_reversal,3.109,0.9804,0.9442657440903882,1575.0,2212.5,1,HELD-OUT(calib+valid),637.5
2025-02-26,p,risk_off_reversal,2.045,0.7632,0.8135381020510386,-974.9999999999995,2137.5,1,HELD-OUT(calib+valid),3112.4999999999995
2025-02-28,p,risk_off_reversal,2.633,0.8709,0.9079146681293574,-675.0000000000005,2662.5,1,HELD-OUT(calib+valid),3337.5000000000005
2025-03-04,c,risk_off_reversal,2.734,0.9602,0.9120749720787714,225.00000000000045,3187.5,1,HELD-OUT(calib+valid),2962.4999999999995
2025-03-04,p,risk_off_reversal,5.662,0.9992,0.9817932451512236,1125.0,1987.5,1,HELD-OUT(calib+valid),862.5
2025-03-05,c,risk_off_reversal,1.854,0.8377,0.7573488777950383,-2250.0,1687.5,0,HELD-OUT(calib+valid),3937.5
2025-03-06,p,risk_off_reversal,2.138,0.7839,0.8045269858121289,-2774.9999999999995,3037.5,1,HELD-OUT(calib+valid),5812.5
2025-03-06,c,risk_off_reversal,5.288,0.9998,0.9950624467408611,525.0000000000009,2512.5,1,HELD-OUT(calib+valid),1987.499999999999
2025-03-10,c,risk_off_reversal,3.104,0.9804,0.9497203099578608,674.9999999999995,3262.5,1,HELD-OUT(calib+valid),2587.5000000000005
2025-03-11,c,risk_off_reversal,3.321,0.9834,0.963284326625166,1650.0000000000005,3262.5,1,HELD-OUT(calib+valid),1612.4999999999995
2025-03-12,c,risk_off_reversal,1.91,0.85,0.8125748241137377,-599.9999999999991,3262.5,1,HELD-OUT(calib+valid),3862.499999999999
