tid,day,side,K,Kl,credit,qty,ex_min,actual_pnl,held_pnl,settle_ok,sigma,era,pnl_headline,pnl_actual_bs,pnl_chain,chain_ok
0,2024-12-17,c,6065.0,6105.0,1012.5,15,88,-525.0,1012.5,1,0.08349999999999999,TRAIN,878.6955180172023,452.5228015421311,-337.4999999999998,True
1,2024-12-17,p,6035.0,5995.0,862.5,15,143,-225.0,862.5,1,0.08349999999999999,TRAIN,638.7883557923985,652.5118810772095,-187.5,True
2,2024-12-18,p,6005.0,5965.0,2437.5,15,109,300.0,-57562.5,0,0.1286,TRAIN,2389.276185465753,2416.389488380222,375.0,True
3,2025-01-07,c,5980.0,6020.0,2212.5,15,391,2212.5,2212.5,1,0.1177,TRAIN,1714.4014240175247,2212.5,-1537.5,True
4,2025-01-13,p,5805.0,5765.0,1312.5,15,391,1312.5,1312.5,1,0.1602,TRAIN,1312.4359857876882,1312.5,,False
5,2025-01-14,c,5880.0,5920.0,1612.4999999999998,15,238,674.9999999999998,1612.4999999999998,1,0.1641,TRAIN,1512.8786285428316,1548.135537967783,-300.0,True
6,2025-01-17,p,5960.0,5920.0,1387.5,15,392,1387.5,1387.5,1,0.13570000000000002,TRAIN,1387.4829797002758,1387.5,1125.0,True
7,2025-01-22,p,6055.0,6015.0,1612.5000000000002,15,103,-299.9999999999998,1612.5000000000002,1,0.1063,TRAIN,1612.126881842936,1497.3837736083608,1312.5000000000002,True
8,2025-01-23,p,6055.0,6015.0,1162.5,15,392,1162.5,1162.5,1,0.09630000000000001,TRAIN,1162.2127644974337,1162.5,900.0,True
9,2025-01-24,c,6140.0,6180.0,1837.5,15,124,300.0,1837.5,1,0.0922,TRAIN,1830.470715821341,1450.0026761879512,,False
10,2025-01-27,p,5960.0,5920.0,1912.5,15,79,-450.00000000000045,1912.5,1,0.08689999999999999,TRAIN,1912.4717024300803,1912.3227706628209,112.49999999999977,True
11,2025-01-28,p,5990.0,5950.0,1387.5,15,391,1387.5,1387.5,1,0.141,TRAIN,1387.4744103749686,1387.5,1087.5,True
12,2025-01-30,c,6090.0,6130.0,1762.5,15,141,450.0,1762.5,1,0.1707,TRAIN,-137.3420983995079,874.3956975347625,-937.5,True
13,2025-01-31,p,6055.0,6015.0,1762.5,15,230,-75.00000000000023,-20632.500000000437,0,0.14550000000000002,TRAIN,1734.4794526842359,1751.386052453646,862.4999999999999,True
14,2025-01-31,c,6090.0,6130.0,1837.5,15,391,1837.5,1837.5,1,0.14550000000000002,TRAIN,1832.2139306091658,1837.5,75.0,True
15,2025-02-03,p,5930.0,5890.0,2287.4999999999995,15,391,2287.4999999999995,2287.4999999999995,1,0.1723,TRAIN,2269.6481655769157,2287.4999999999995,-75.0,True
16,2025-02-04,p,5975.0,5935.0,2662.5,15,393,2662.5,2662.5,1,0.1814,TRAIN,2662.467328404579,2662.5,2475.0,True
17,2025-02-05,c,6055.0,6095.0,2137.5,15,101,-1125.0,-8197.500000000491,0,0.1482,TRAIN,1543.623696848903,-273.8181755277028,-375.0,True
18,2025-02-05,p,5995.0,5955.0,1387.5,15,392,1387.5,1387.5,1,0.1482,TRAIN,1387.320466116013,1387.5,1050.0,True
19,2025-02-06,c,6095.0,6135.0,1987.5,15,104,-1275.0000000000005,1987.5,1,0.1134,TRAIN,1549.965095509242,734.268635700779,-75.0,True
20,2025-02-10,p,6015.0,5975.0,1537.5,15,111,75.0,1537.5,1,0.1602,HELDOUT,1537.405343989513,1307.0715152066523,1387.5,True
21,2025-02-11,p,6020.0,5980.0,1987.5,15,154,450.0,1987.5,1,0.11470000000000001,HELDOUT,1987.2706627430186,1923.6644444933206,1762.5,True
22,2025-02-12,p,5990.0,5950.0,1237.5,15,103,-2100.0000000000005,1237.5,1,0.136,HELDOUT,1199.533093859182,919.566899723804,-299.9999999999998,True
23,2025-02-13,p,6025.0,5985.0,1612.5000000000002,15,392,1612.5000000000002,1612.5000000000002,1,0.1225,HELDOUT,1597.6607134488722,1612.5000000000002,112.50000000000068,True
24,2025-02-18,c,6130.0,6170.0,862.5,15,262,-150.0,862.5,1,0.1115,HELDOUT,844.7151893303712,440.13547559436984,,False
25,2025-02-19,p,6085.0,6045.0,1012.5,15,391,1012.5,1012.5,1,0.0906,HELDOUT,985.8190676529796,1012.5,0.0,True
26,2025-02-21,c,6125.0,6165.0,1912.5,15,392,1912.5,1912.5,1,0.10679999999999999,HELDOUT,1824.8449902934424,1912.5,37.5,True
27,2025-02-25,c,6010.0,6050.0,2212.5,15,189,1575.0,2212.5,1,0.156,HELDOUT,2145.9270765784154,2202.8176904132224,-262.5,True
28,2025-02-26,p,5955.0,5915.0,2137.5,15,150,-974.9999999999995,2137.5,1,0.1471,HELDOUT,2085.9564207212075,1928.1054039866513,-1050.0,True
29,2025-02-28,p,5805.0,5765.0,2662.5,15,120,-675.0000000000005,2662.5,1,0.19649999999999998,HELDOUT,2661.858237788468,2613.797474232859,1912.5,True
