day,side,reason,short,qty,credit,actual,held,delta_pnl,touched_after_exit,settle
2024-12-17,bear,sr_inner_breach,6065,15,1012.5,-525.0,1012.5,1537.5,0,6050.31
2024-12-17,bull,sr_inner_breach,6035,15,862.5,-225.0,862.5,1087.5,0,6050.31
2024-12-18,bull,risk_off_reversal,6005,15,2437.5,300.0,-57562.5,-57862.5,1,5869.22
2025-01-14,bear,risk_off_reversal,5880,15,1612.4999999999998,674.9999999999998,1612.5,937.5,0,5843.31
2025-01-22,bull,risk_off_reversal,6055,15,1612.5000000000002,-299.9999999999998,1612.5,1912.5,0,6085.66
2025-01-24,bear,sr_inner_breach,6140,15,1837.5,300.0,1837.5,1537.5,0,6100.82
2025-01-27,bull,risk_off_reversal,5960,15,1912.5,-450.00000000000045,1912.5,2362.5,0,6013.39
2025-01-30,bear,risk_off_reversal,6090,15,1762.5,450.0,1762.5,1312.5,0,6069.66
2025-01-31,bull,risk_off_reversal,6055,15,1762.5,-75.00000000000023,-20632.5,-20557.5,1,6040.07
2025-02-05,bear,risk_off_reversal,6055,15,2137.5,-1125.0,-8197.5,-7072.5,1,6061.89
2025-02-06,bear,sr_inner_breach,6095,15,1987.5,-1275.0000000000005,1987.5,3262.5,0,6082.86
2025-02-10,bull,risk_off_reversal,6015,15,1537.5,75.0,1537.5,1462.5,0,6066.66
2025-02-11,bull,risk_off_reversal,6020,15,1987.5,450.0,1987.5,1537.5,0,6068.92
2025-02-12,bull,risk_off_reversal,5990,15,1237.5,-2100.0000000000005,1237.5,3337.5,0,6051.01
2025-02-18,bear,sr_inner_breach,6130,15,862.5,-150.0,862.5,1012.5,0,6129.39
2025-02-25,bear,risk_off_reversal,6010,15,2212.5,1575.0,2212.5,637.5,0,5955.92
2025-02-26,bull,risk_off_reversal,5955,15,2137.5,-974.9999999999995,2137.5,3112.5,1,5957.43
2025-02-28,bull,risk_off_reversal,5805,15,2662.5,-675.0000000000005,2662.5,3337.5,0,5953.03
2025-03-04,bear,risk_off_reversal,5845,15,3187.5,225.00000000000045,3187.5,2962.5,1,5777.44
2025-03-04,bull,risk_off_reversal,5760,15,1987.5,1125.0,1987.5,862.5,1,5777.44
2025-03-05,bear,risk_off_reversal,5840,15,3112.5,-2250.0,1687.5,3937.5,1,5840.95
2025-03-06,bull,risk_off_reversal,5705,15,3037.5000000000005,-2774.9999999999995,3037.5,5812.5,0,5738.49
2025-03-06,bear,risk_off_reversal,5825,15,2512.5000000000005,525.0000000000009,2512.5,1987.5,0,5738.49
2025-03-10,bear,risk_off_reversal,5765,15,3262.4999999999995,674.9999999999995,3262.5,2587.5,0,5615.0
2025-03-11,bear,risk_off_reversal,5670,15,3262.5000000000005,1650.0000000000005,3262.5,1612.5,0,5571.79
2025-03-12,bear,risk_off_reversal,5665,15,3262.5000000000005,-599.9999999999991,3262.5,3862.5,0,5598.28
2025-03-18,bear,risk_off_reversal,5665,15,2362.5,-600.0000000000005,2362.5,2962.5,0,5615.37
2025-03-20,bull,risk_off_reversal,5625,15,2437.5,-150.0,2437.5,2587.5,0,5662.07
2025-03-24,bull,risk_off_reversal,5710,15,1612.5000000000002,750.0000000000003,1612.5,862.5,0,5765.15
2025-03-25,bull,risk_off_reversal,5740,15,1612.5000000000002,-374.9999999999998,1612.5,1987.5,0,5776.83
2025-03-27,bull,risk_off_reversal,5650,15,2587.4999999999995,824.9999999999998,2587.5,1762.5,0,5692.36
2025-04-03,bear,risk_off_reversal,5535,15,2962.4999999999995,-2175.0000000000005,2962.5,5137.5,0,5394.89
2025-04-07,bull,risk_off_reversal,4830,15,4462.499999999998,-75.00000000000182,4462.5,4537.5,0,5059.86
2025-04-10,bear,risk_off_reversal,5435,15,3262.4999999999995,-450.0,3262.5,3712.5,0,5268.18
2025-04-14,bear,risk_off_reversal,5470,15,2812.5,1124.9999999999998,2812.5,1687.5,0,5405.56
2025-04-16,bull,risk_off_reversal,5285,15,2962.5,-2324.999999999999,-10147.5,-7822.5,1,5276.26
2025-04-17,bear,risk_off_reversal,5350,15,2737.5,-2025.000000000001,2737.5,4762.5,0,5283.5
2025-04-17,bull,risk_off_reversal,5240,15,3112.5,2250.0,3112.5,862.5,0,5283.5
2025-04-23,bear,risk_off_reversal,5470,15,2887.5000000000005,-299.99999999999955,2887.5,3187.5,0,5372.42
2025-04-25,bull,risk_off_reversal,5450,15,1987.5,-750.0,1987.5,2737.5,0,5523.52
2025-04-28,bear,risk_off_reversal,5565,15,2512.5,2175.0,2512.5,337.5,0,5528.64
2025-04-30,bull,risk_off_reversal,5425,15,2587.5,300.0,2587.5,2287.5,0,5560.16
2025-05-01,bull,risk_off_reversal,5560,15,2212.5,225.00000000000045,2212.5,1987.5,0,5602.31
2025-05-08,bear,risk_off_reversal,5715,15,3112.5,-2024.999999999999,3112.5,5137.5,1,5663.86
2025-05-08,bull,sr_inner_breach,5675,15,1162.5,-1050.0,-15547.5,-14497.5,1,5663.86
2025-05-20,bull,risk_off_reversal,5910,15,1612.5000000000002,-150.0,1612.5,1762.5,1,5940.83
2025-05-21,bull,risk_off_reversal,5875,15,1837.5,-2700.0,-44407.5,-41707.5,1,5844.17
2025-05-22,bull,risk_off_reversal,5800,15,3037.4999999999995,599.9999999999995,3037.5,2437.5,0,5841.0
2025-05-29,bear,risk_off_reversal,5965,15,2437.5,1650.0,2437.5,787.5,0,5912.16
2025-05-30,bull,risk_off_reversal,5850,15,2362.5,-4350.0,2362.5,6712.5,1,5907.06
2025-05-30,bear,risk_off_reversal,5910,15,1987.5,-3074.999999999999,1987.5,5062.5,1,5907.06
2025-06-04,bear,risk_off_reversal,6005,15,1462.5,300.0,1462.5,1162.5,0,5971.16
2025-06-09,bull,risk_off_reversal,5985,15,1312.4999999999998,1199.9999999999998,1312.5,112.5,0,6004.2
2025-06-13,bear,risk_off_reversal,6025,15,1912.5,-4500.0,1912.5,6412.5,1,5977.48
2025-06-13,bull,risk_off_reversal,5975,15,1312.5000000000002,-1274.9999999999993,1312.5,2587.5,1,5977.48
2025-06-17,bull,risk_off_reversal,5975,15,1462.5,-525.0,1462.5,1987.5,1,5982.06
2025-06-27,bull,risk_off_reversal,6135,15,1162.5,-2.2737367544323206e-13,1162.5,1162.5,1,6171.97
2025-06-30,bear,risk_off_reversal,6215,15,1687.5000000000002,-299.9999999999993,1687.5,1987.5,1,6204.35
2025-07-01,bear,sr_inner_breach,6210,15,1237.5,-1425.0,1237.5,2662.5,1,6197.58
2025-07-01,bull,sr_inner_breach,6180,15,1012.5,-75.0,1012.5,1087.5,0,6197.58
2025-07-08,bear,sr_inner_breach,6250,15,1387.5,-900.0,1387.5,2287.5,0,6225.48
2025-07-09,bear,risk_off_reversal,6270,15,787.4999999999999,-75.0,787.5,862.5,0,6262.27
2025-07-11,bull,risk_off_reversal,6225,15,1837.5,-2325.0,1837.5,4162.5,0,6258.35
2025-07-16,bear,sr_inner_breach,6265,15,1012.5,-674.9999999999998,1012.5,1687.5,1,6263.58
2025-07-21,bull,risk_off_reversal,6295,15,1312.5,825.0,1312.5,487.5,0,6307.46
2025-07-24,bull,risk_off_reversal,6345,15,1387.5,-450.0000000000002,1387.5,1837.5,0,6364.02
2025-07-28,bear,sr_inner_breach,6410,15,937.5,-450.0,937.5,1387.5,0,6389.58
2025-08-08,bull,risk_off_reversal,6340,15,1237.5000000000002,-1499.9999999999998,1237.5,2737.5,0,6390.19
2025-08-11,bear,sr_inner_breach,6405,15,412.50000000000006,-299.99999999999994,412.5,712.5,0,6374.49
2025-08-13,bear,risk_off_reversal,6485,15,787.4999999999999,599.9999999999999,787.5,187.5,0,6466.79
2025-08-14,bull,risk_off_reversal,6425,15,1237.5,-375.0,1237.5,1612.5,0,6467.8
2025-08-18,bear,sr_inner_breach,6460,15,487.5,-300.0,487.5,787.5,0,6449.24
2025-08-19,bull,risk_off_reversal,6425,15,1387.5,-299.9999999999998,-18412.5,-18112.5,1,6411.8
2025-08-21,bull,risk_off_reversal,6335,15,2212.5,-750.0000000000005,2212.5,2962.5,0,6370.18
2025-08-21,bear,sr_inner_breach,6385,15,1312.5,-1049.9999999999995,1312.5,2362.5,0,6370.18
2025-08-25,bull,sr_inner_breach,6440,15,1012.5,75.0,187.5,112.5,1,6439.45
2025-08-26,bull,risk_off_reversal,6415,15,1237.4999999999998,674.9999999999998,1237.5,562.5,0,6465.7
2025-08-27,bull,risk_off_reversal,6440,15,1162.5,-75.0,1162.5,1237.5,0,6480.85
2025-09-03,bear,sr_inner_breach,6450,15,787.5000000000001,-524.9999999999999,787.5,1312.5,0,6447.81
2025-09-04,bear,sr_inner_breach,6480,15,1162.5,-1050.0,-31087.5,-30037.5,1,6501.5
2025-09-08,bull,risk_off_reversal,6475,15,1162.5,-1050.0000000000005,1162.5,2212.5,0,6496.06
2025-09-08,bear,sr_inner_breach,6505,15,562.5,-299.9999999999999,562.5,862.5,0,6496.06
2025-09-09,bear,sr_inner_breach,6515,15,937.5,-375.0,937.5,1312.5,1,6512.4
2025-09-09,bull,sr_inner_breach,6485,15,787.5000000000001,-224.9999999999999,787.5,1012.5,0,6512.4
