snap,side,target_delta,spot,vix,atm_iv,variant,sigma,actual_strike,derived_strike,error_pts,error_increments,implied_m
06:35,p,0.05,7573.55,16.2,0.1933,vix,0.162,7486.6,7519.2,32.6,6.53,1.6
06:35,p,0.05,7573.55,16.2,0.1933,vixadj,0.1269,7486.6,7530.9,44.4,8.87,2.041
06:35,p,0.05,7573.55,16.2,0.1933,atmiv,0.1933,7486.6,7508.8,22.2,4.44,1.342
06:35,p,0.1,7573.55,16.2,0.1933,vix,0.162,7511.1,7531.2,20.1,4.02,1.475
06:35,p,0.1,7573.55,16.2,0.1933,vixadj,0.1269,7511.1,7540.3,29.3,5.85,1.881
06:35,p,0.1,7573.55,16.2,0.1933,atmiv,0.1933,7511.1,7523.0,12.0,2.4,1.237
06:35,p,0.15,7573.55,16.2,0.1933,vix,0.162,7525.7,7539.3,13.6,2.72,1.396
06:35,p,0.15,7573.55,16.2,0.1933,vixadj,0.1269,7525.7,7546.7,21.0,4.19,1.781
06:35,p,0.15,7573.55,16.2,0.1933,atmiv,0.1933,7525.7,7532.7,7.0,1.4,1.171
06:35,p,0.2,7573.55,16.2,0.1933,vix,0.162,7536.3,7545.7,9.4,1.89,1.339
06:35,p,0.2,7573.55,16.2,0.1933,vixadj,0.1269,7536.3,7551.7,15.4,3.09,1.708
06:35,p,0.2,7573.55,16.2,0.1933,atmiv,0.1933,7536.3,7540.4,4.1,0.82,1.123
06:35,p,0.3,7573.55,16.2,0.1933,vix,0.162,7552.2,7556.2,4.0,0.8,1.231
06:35,p,0.3,7573.55,16.2,0.1933,vixadj,0.1269,7552.2,7560.0,7.7,1.55,1.569
06:35,p,0.3,7573.55,16.2,0.1933,atmiv,0.1933,7552.2,7552.9,0.7,0.13,1.032
06:35,c,0.05,7573.55,16.2,0.1933,vix,0.162,7631.6,7628.4,-3.2,-0.64,1.058
06:35,c,0.05,7573.55,16.2,0.1933,vixadj,0.1269,7631.6,7616.5,-15.1,-3.02,1.352
06:35,c,0.05,7573.55,16.2,0.1933,atmiv,0.1933,7631.6,7639.1,7.5,1.5,0.886
06:35,c,0.1,7573.55,16.2,0.1933,vix,0.162,7618.9,7616.3,-2.6,-0.51,1.06
06:35,c,0.1,7573.55,16.2,0.1933,vixadj,0.1269,7618.9,7607.0,-11.9,-2.37,1.354
06:35,c,0.1,7573.55,16.2,0.1933,atmiv,0.1933,7618.9,7624.6,5.7,1.15,0.888
06:35,c,0.15,7573.55,16.2,0.1933,vix,0.162,7610.2,7608.1,-2.1,-0.42,1.061
06:35,c,0.15,7573.55,16.2,0.1933,vixadj,0.1269,7610.2,7600.6,-9.6,-1.92,1.355
06:35,c,0.15,7573.55,16.2,0.1933,atmiv,0.1933,7610.2,7614.8,4.6,0.92,0.888
06:35,c,0.2,7573.55,16.2,0.1933,vix,0.162,7604.3,7601.6,-2.6,-0.53,1.094
06:35,c,0.2,7573.55,16.2,0.1933,vixadj,0.1269,7604.3,7595.5,-8.7,-1.75,1.397
06:35,c,0.2,7573.55,16.2,0.1933,atmiv,0.1933,7604.3,7607.1,2.8,0.57,0.916
06:35,c,0.3,7573.55,16.2,0.1933,vix,0.162,7593.1,7591.1,-2.0,-0.41,1.116
06:35,c,0.3,7573.55,16.2,0.1933,vixadj,0.1269,7593.1,7587.2,-5.8,-1.17,1.427
06:35,c,0.3,7573.55,16.2,0.1933,atmiv,0.1933,7593.1,7594.5,1.4,0.27,0.935
07:00,p,0.05,7573.11,16.14,0.1719,vix,0.1614,7486.4,7520.7,34.4,6.87,1.656
07:00,p,0.05,7573.11,16.14,0.1719,vixadj,0.1264,7486.4,7532.0,45.6,9.13,2.112
07:00,p,0.05,7573.11,16.14,0.1719,atmiv,0.1719,7486.4,7517.4,31.0,6.19,1.556
07:00,p,0.1,7573.11,16.14,0.1719,vix,0.1614,7513.9,7532.3,18.4,3.68,1.45
07:00,p,0.1,7573.11,16.14,0.1719,vixadj,0.1264,7513.9,7541.1,27.2,5.44,1.85
07:00,p,0.1,7573.11,16.14,0.1719,atmiv,0.1719,7513.9,7529.7,15.8,3.15,1.363
07:00,p,0.15,7573.11,16.14,0.1719,vix,0.1614,7528.0,7540.1,12.0,2.41,1.365
07:00,p,0.15,7573.11,16.14,0.1719,vixadj,0.1264,7528.0,7547.2,19.2,3.83,1.741
07:00,p,0.15,7573.11,16.14,0.1719,atmiv,0.1719,7528.0,7538.0,9.9,1.98,1.282
07:00,p,0.2,7573.11,16.14,0.1719,vix,0.1614,7537.7,7546.3,8.6,1.71,1.32
07:00,p,0.2,7573.11,16.14,0.1719,vixadj,0.1264,7537.7,7552.1,14.4,2.87,1.683
07:00,p,0.2,7573.11,16.14,0.1719,atmiv,0.1719,7537.7,7544.6,6.8,1.37,1.24
