entry,side,target,strike,spot,breach,touch,settle_through
06:35,p,0.1,7510,7573.55,,,0
06:35,p,0.15,7525,7573.55,,,0
06:35,p,0.2,7535,7573.55,,,0
06:35,c,0.1,7620,7573.55,10:45,,0
06:35,c,0.15,7610,7573.55,10:30,10:43,0
06:35,c,0.2,7605,7573.55,09:56,10:42,0
07:00,p,0.1,7515,7573.11,,,0
07:00,p,0.15,7530,7573.11,,,0
07:00,p,0.2,7540,7573.11,,,0
07:00,c,0.1,7610,7573.11,10:30,10:43,0
07:00,c,0.15,7605,7573.11,09:56,10:42,0
07:00,c,0.2,7600,7573.11,08:31,10:29,1
07:30,p,0.1,7525,7575.57,,,0
07:30,p,0.15,7535,7575.57,,,0
07:30,p,0.2,7545,7575.57,,,0
07:30,c,0.1,7610,7575.57,10:30,10:43,0
07:30,c,0.15,7605,7575.57,09:56,10:42,0
07:30,c,0.2,7600,7575.57,08:31,10:29,1
08:00,p,0.1,7530,7573.61,,,0
08:00,p,0.15,7540,7573.61,,,0
08:00,p,0.2,7550,7573.61,,,0
08:00,c,0.1,7605,7573.61,09:56,10:42,0
08:00,c,0.15,7600,7573.61,08:31,10:29,1
08:00,c,0.2,7595,7573.61,08:31,09:53,1
08:30,p,0.1,7540,7579.0,,,0
08:30,p,0.15,7550,7579.0,,,0
08:30,p,0.2,7555,7579.0,,,0
08:30,c,0.1,7605,7579.0,09:56,10:42,0
08:30,c,0.15,7600,7579.0,08:31,10:29,1
08:30,c,0.2,7595,7579.0,08:31,09:53,1
09:00,p,0.1,7550,7583.93,,,0
09:00,p,0.15,7560,7583.93,,,0
09:00,p,0.2,7565,7583.93,09:18,,0
09:00,c,0.1,7610,7583.93,10:30,10:43,0
09:00,c,0.15,7605,7583.93,09:56,10:42,0
09:00,c,0.2,7600,7583.93,09:53,10:29,1
09:30,p,0.1,7555,7585.01,,,0
09:30,p,0.15,7565,7585.01,,,0
09:30,p,0.2,7570,7585.01,,,0
09:30,c,0.1,7610,7585.01,10:30,10:43,0
09:30,c,0.15,7605,7585.01,09:56,10:42,0
09:30,c,0.2,7600,7585.01,09:53,10:29,1
10:00,p,0.1,7570,7597.01,,,0
10:00,p,0.15,7580,7597.01,10:10,,0
10:00,p,0.2,7585,7597.01,10:03,,0
10:00,c,0.1,7620,7597.01,10:45,,0
10:00,c,0.15,7615,7597.01,10:44,10:43,0
10:00,c,0.2,7610,7597.01,10:30,10:43,0
10:30,p,0.1,7585,7600.9,,,0
10:30,p,0.15,7590,7600.9,10:33,,0
10:30,p,0.2,7590,7600.9,10:33,,0
10:30,c,0.1,7620,7600.9,10:45,,0
10:30,c,0.15,7620,7600.9,10:45,,0
10:30,c,0.2,7615,7600.9,10:44,10:43,0
11:00,p,0.1,7590,7612.86,,,0
11:00,p,0.15,7595,7612.86,,,0
11:00,p,0.2,7600,7612.86,12:50,12:52,0
11:00,c,0.1,7635,7612.86,,,0
11:00,c,0.15,7630,7612.86,,,0
11:00,c,0.2,7625,7612.86,,,0
11:30,p,0.1,7600,7615.66,12:50,12:52,0
11:30,p,0.15,7605,7615.66,12:36,12:47,1
11:30,p,0.2,7605,7615.66,12:36,12:47,1
11:30,c,0.1,7630,7615.66,,,0
11:30,c,0.15,7630,7615.66,,,0
11:30,c,0.2,7625,7615.66,,,0
12:00,p,0.1,7595,7612.47,,,0
12:00,p,0.15,7600,7612.47,12:50,12:52,0
12:00,p,0.2,7605,7612.47,12:36,12:47,1
12:00,c,0.1,7625,7612.47,,,0
12:00,c,0.15,7625,7612.47,,,0
12:00,c,0.2,7620,7612.47,,,0
